"model_slug","max_context","8k_pct","8k_ci95_lower_pct","8k_ci95_upper_pct","16k_pct","16k_ci95_lower_pct","16k_ci95_upper_pct","32k_pct","32k_ci95_lower_pct","32k_ci95_upper_pct","64k_pct","64k_ci95_lower_pct","64k_ci95_upper_pct","128k_pct","128k_ci95_lower_pct","128k_ci95_upper_pct","256k_pct","256k_ci95_lower_pct","256k_ci95_upper_pct","512k_pct","512k_ci95_lower_pct","512k_ci95_upper_pct","1M_pct","1M_ci95_lower_pct","1M_ci95_upper_pct","auc_128k_pct","auc_1m_pct","tok_eff","cost_128k","cost_1m"
"anthropic/claude-sonnet-4.6","1000000","74.34","64.96","82.93","54.13","43.33","64.29","49.27","41.38","57.10","55.03","44.86","65.44","49.02","39.74","58.28","46.07","37.95","54.15","29.80","24.33","35.03","","","","52.83","29.30","1.1311","86.3433","632.7130"
"deepseek/deepseek-v4-pro","1048576","96.35","91.49","99.99","96.14","91.14","99.93","79.39","71.86","85.84","66.54","56.09","75.74","48.44","38.92","57.69","33.17","25.85","41.51","28.80","23.19","34.03","","","","68.24","28.26","0.9971","45.5774","327.8882"
"anthropic/claude-opus-4.6","1000000","81.60","72.95","89.07","69.27","59.58","78.33","61.08","53.29","68.82","58.43","49.00","68.73","37.46","28.19","46.36","40.01","32.25","48.30","28.18","22.96","33.33","","","","55.22","27.10","1.1311","144.3554","1054.8922"
"deepseek/deepseek-v4-flash","1048576","96.32","91.47","99.95","84.79","76.29","92.06","67.09","58.65","74.46","64.36","54.09","73.68","43.86","34.45","53.22","31.27","24.28","38.62","24.74","19.70","30.12","","","","62.55","25.41","0.9971","3.6006","26.1701"
"google/gemini-3.5-flash","1048576","87.88","80.49","94.01","63.43","52.57","73.17","58.35","50.63","66.18","27.02","18.96","36.16","21.55","14.90","28.30","27.48","20.54","34.49","21.37","16.57","26.34","18.12","14.40","22.11","37.50","23.62","1.0000","0.0000","0.0000"
"google/gemini-3-flash-preview","1048576","58.67","48.60","69.27","35.73","25.92","45.68","28.38","21.28","35.37","23.52","15.64","31.98","20.81","14.15","28.12","27.72","20.70","34.64","20.64","16.09","25.46","18.21","14.50","22.19","26.16","22.03","1.0000","12.8255","256.4319"
"google/gemini-3.1-flash-lite-preview","1048576","98.79","96.39","100.00","84.24","75.75","91.51","65.93","58.03","73.66","39.05","29.01","49.04","28.14","20.21","36.71","22.54","16.43","28.69","16.87","12.84","21.32","12.41","9.58","15.61","48.02","21.21","1.0094","6.3906","128.0546"
"openai/gpt-5.5","1050000","66.38","56.56","75.87","51.43","40.22","62.29","35.00","27.25","42.60","37.56","28.09","47.65","28.32","20.77","36.53","27.51","20.55","34.56","24.90","19.79","30.30","","","","36.93","20.76","0.9800","125.8317","1520.6172"
"google/gemini-3.1-flash-lite-preview","1048576","65.20","55.22","74.70","62.38","51.44","72.13","34.72","26.92","42.38","36.87","27.48","47.01","25.97","18.46","34.39","22.15","16.02","28.37","18.58","14.39","22.98","10.63","8.12","13.62","37.03","19.90","1.0005","6.3878","128.1761"
"google/gemini-3.5-flash","1048576","60.12","49.39","69.98","40.37","29.27","51.23","26.29","19.67","33.13","25.88","17.89","34.92","23.23","16.36","30.67","24.71","18.13","31.38","15.91","11.90","20.11","17.18","13.49","21.18","27.84","19.77","1.0000","0.0000","0.0000"
"google/gemini-3.1-flash-lite-preview","1048576","96.32","91.42","99.99","80.12","70.44","88.59","56.07","48.42","64.42","29.35","20.53","39.27","23.36","16.03","31.32","20.35","14.72","26.31","17.07","13.04","21.25","11.97","9.21","15.11","40.40","19.56","1.0002","6.3864","128.1792"
"deepseek/deepseek-v4-pro","1048576","49.45","38.10","59.77","40.19","29.17","50.90","26.54","19.96","33.08","22.10","14.88","30.20","25.30","17.70","32.87","22.55","16.41","28.71","18.13","13.82","22.69","","","","26.56","15.84","0.9971","43.1669","322.0368"
"openai/gpt-5.4","1050000","57.82","47.12","67.94","35.78","25.95","45.80","22.82","16.53","29.02","26.92","18.87","36.08","29.04","21.20","37.45","20.87","14.82","26.97","17.67","13.41","22.26","","","","28.58","15.83","0.9800","62.8952","760.2395"
"xiaomi/mimo-v2.5","1048576","79.40","69.74","87.91","51.40","40.11","62.21","34.70","27.13","42.25","24.79","16.97","33.55","27.23","19.70","34.81","28.04","21.05","34.95","13.20","9.74","17.14","","","","31.90","15.77","1.0023","10.9857","139.4699"
"x-ai/grok-4.20","2000000","95.18","89.19","98.80","59.93","49.13","69.76","61.87","53.98","69.74","38.95","28.92","48.93","19.42","13.09","26.23","15.90","10.86","21.21","11.72","8.62","15.23","8.15","5.87","10.62","42.30","15.71","0.9521","54.6971","1914.3202"
"xiaomi/mimo-v2.5-pro","1048576","82.89","74.35","90.25","62.42","51.51","72.16","54.55","46.72","62.40","40.38","30.08","50.44","31.69","23.16","40.19","16.96","11.51","22.71","12.93","9.55","16.81","","","","44.52","15.35","1.0024","25.8278","346.5666"
